"funded_per_faculty_x","Area","Productivity_x","ProductivityWithDeptCollabs_x","ProductivityWithoutDeptCollabs_x","YearGroupSize_x","Title_x","uniform_percentile_x","UpwardMove","WindowedGroupSize_x","WindowedGroupSize4_x","Gender","Productivity_y","ProductivityWithDeptCollabs_y","ProductivityWithoutDeptCollabs_y","YearGroupSize_y","WindowedGroupSize_y","WindowedGroupSize4_y","PersonId"
1.93333333333333,"Agriculture",10,5,5,7,"Associate Professor",0.336448598130841,1,7,7,"Unknown",4.5,1.5,3,4,10,10,"22e2e29b5aa0f4665a90a1a040dc3f48"
0.0649350649350649,"Health",0,0,0,0,"Associate Professor",0.311627906976744,1,5,5,"Female",5,3,2,6,6,6,"e1ecb352e548cf199a1fd9452bef6f06"
0.987841945288754,"Agriculture",3,2.33333333333333,0.666666666666667,6,"Associate Professor",0.429906542056075,1,10.6666666666667,11,"Male",1.5,0.5,1,1.5,2,2,"e6f6418e8a05ff2ea46edc6cf35deb24"
0.683673469387755,"Engineering",1.33333333333333,1,0.333333333333333,3,"Professor",0.91747572815534,0,6,7.33333333333333,"Female",0,0,0,0,0,0,"33884b27beb004d54bfd1bca8953deb8"
0.62,"Engineering",1.75,1,0.75,2.25,"Professor",0.242718446601942,0,5.25,6.5,"Male",1.5,1,0.5,2.5,3.5,3.5,"56a7b77b868bbb8d4af95c320eefcada"
0.192307692307692,"Architecture, Design, Planning",1.5,0,1.5,1,"Professor",0.881188118811881,1,1,1,"Female",0.5,0,0.5,0.5,1,1,"cce8964d82acf193a489034480add1db"
2.38674033149171,"Engineering",3,3,0,5,"Associate Professor",0.985436893203884,0,11,11,"Male",1.5,1.5,0,2.5,3,3,"f199a43a3920d7a9e6ba0c878d781d19"
1.49122807017544,"Medical Sciences",1.5,0,1.5,1,"Assistant Professor",0.412903225806452,0,6,6,"Male",4.5,3.5,1,6.5,8.5,8.5,"5c5ab4fc5acfee3fdbe1f72de345a614"
0.0887096774193548,"Medical Sciences",4,4,0,10,"Associate Professor",0.587096774193548,0,10,10,"Female",0,0,0,0,0,0,"4c79c8b718d99a4db222cb56be72731a"
2.08730158730159,"Agriculture",0.5,0.5,0,1,"Professor",0.663551401869159,1,1,1,"Male",0,0,0,0,0,0,"337be793a52244cefb2e8daf3af2a504"
6.5,"Engineering",5.66666666666667,3,2.66666666666667,4.33333333333333,"Associate Professor",0.631067961165049,0,7.66666666666667,7.66666666666667,"Male",1,1,0,2,2,2,"65d40dc2126b8644f0905c710925bdb8"
0.0266666666666667,"Computational Sciences",1.75,1.25,0.5,2.25,"Professor",0.716216216216216,1,3.75,4,"Male",1.5,0,1.5,1,1,1,"e91d969ba10c1773c687e32e48c56dc5"
0.0849056603773585,"Medical Sciences",4,1,3,2,"Assistant Professor",0.67741935483871,1,7,7,"Unknown",2,1,1,7,17,21,"0f6ff4e9847d67564592ba3f16d73653"
0.518181818181818,"Health",0.5,0,0.5,0.5,"Assistant Professor",0.548837209302326,0,1,1,"Female",0,0,0,0,0,0,"f8937aef930565123d328104c6ed0b44"
1.39655172413793,"Engineering",0,0,0,0,"Assistant Professor",0.427184466019418,1,0,0,"Male",4,4,0,7.5,8,8,"681faaaa0aa498305c469216d3ea9c82"
0.0275862068965517,"Engineering",8.5,5.5,3,8,"Associate Professor",0.689320388349515,1,17,18.5,"Male",9.5,1,8.5,2,4,4,"fba2f02d60832a4c38440af05ec30e0d"
0.182926829268293,"Biological Sciences",3,2.5,0.5,6,"Professor",0.645283018867924,1,8.5,9.5,"Unknown",0,0,0,0,0,0,"edbac2208e6237be365e9ea6f6d28131"
1.54166666666667,"Biological Sciences",2,1.33333333333333,0.666666666666667,3,"Professor",0.845283018867925,0,3.66666666666667,3.66666666666667,"Male",1.5,0,1.5,1,1,1,"ae2aba46c6592cd6b97f556838207e38"
0.474358974358974,"Health",0,0,0,0,"Associate Professor",0.130232558139535,0,0,0,"Male",0,0,0,0,1,1,"593b508cee0c783619522ee87a148b6c"
