name,pi_decile,AreaHasCollabNorm,avg_prod,avg_prod_sd,avg_prod_se
ProductivityWithDeptCollabs,1,FALSE,0.22643464925299298,0.3897725961800668,0.011631116980750455
ProductivityWithDeptCollabs,1,TRUE,0.7715756033803993,1.1898974389844479,0.017257581819873104
ProductivityWithDeptCollabs,2,FALSE,0.20677634479717813,0.40785834968526047,0.015199983251452038
ProductivityWithDeptCollabs,2,TRUE,0.8953110757698446,1.2687217836713787,0.01765180803266248
ProductivityWithDeptCollabs,3,FALSE,0.37548426902453746,0.8345877658352231,0.027912790419363925
ProductivityWithDeptCollabs,3,TRUE,1.0369763169091832,1.481217176134671,0.020662336527689524
ProductivityWithDeptCollabs,4,FALSE,0.2824694531138445,0.6438002444742321,0.02223971041434531
ProductivityWithDeptCollabs,4,TRUE,0.955829175675845,1.3391838768917916,0.019084517736834446
ProductivityWithDeptCollabs,5,FALSE,0.25222760687362455,0.46432310600633364,0.017832221456724487
ProductivityWithDeptCollabs,5,TRUE,1.2222436731412796,1.6855344254332993,0.023231630237415257
ProductivityWithDeptCollabs,6,FALSE,0.35837744093013413,0.7183728900140642,0.024582214232362384
ProductivityWithDeptCollabs,6,TRUE,1.264545517964701,1.7543377242839646,0.024645506625181977
ProductivityWithDeptCollabs,7,FALSE,0.32430183928299505,0.6962729595570715,0.024678740729276855
ProductivityWithDeptCollabs,7,TRUE,1.2221213605142176,1.727088729896266,0.023996603206108337
ProductivityWithDeptCollabs,8,FALSE,0.38717540105496606,0.8434261408513299,0.030122362173261783
ProductivityWithDeptCollabs,8,TRUE,1.3336287228142751,1.8789757157164724,0.02582189941093285
ProductivityWithDeptCollabs,9,FALSE,0.3396981434302008,0.7210162909852605,0.02230421445931297
ProductivityWithDeptCollabs,9,TRUE,1.4107653120860113,1.955374479772499,0.02740221978033069
ProductivityWithDeptCollabs,10,FALSE,0.2750958750958751,0.6766052480325027,0.021406842704605092
ProductivityWithDeptCollabs,10,TRUE,1.6429505838801337,2.199104919374437,0.030763482705690792
ProductivityWithoutDeptCollabs,1,FALSE,0.5936532671839885,0.7613576210899129,0.022719502709707247
ProductivityWithoutDeptCollabs,1,TRUE,0.5011066855829162,0.8557996298618259,0.012412021111973004
ProductivityWithoutDeptCollabs,2,FALSE,0.6566082451499118,0.8564417215999388,0.03191769847107355
ProductivityWithoutDeptCollabs,2,TRUE,0.5672399588195175,0.8693107259572957,0.012094776217153096
ProductivityWithoutDeptCollabs,3,FALSE,0.7111741415432691,1.1063842776125061,0.037003025599556275
ProductivityWithoutDeptCollabs,3,TRUE,0.6314688678815941,1.0142118506276228,0.014147814990050736
ProductivityWithoutDeptCollabs,4,FALSE,0.7583182231451921,0.9851425866682634,0.03403118596550667
ProductivityWithoutDeptCollabs,4,TRUE,0.6365249505887198,0.9816721159605876,0.013989668806563323
ProductivityWithoutDeptCollabs,5,FALSE,0.759736269138924,0.8854779328210047,0.03400657513884605
ProductivityWithoutDeptCollabs,5,TRUE,0.709990105779206,1.077006432521711,0.014844321673958145
ProductivityWithoutDeptCollabs,6,FALSE,0.8719414562798637,1.1526488769051273,0.0394428325743459
ProductivityWithoutDeptCollabs,6,TRUE,0.7635262605955323,1.1450209875428592,0.016085627039672663
ProductivityWithoutDeptCollabs,7,FALSE,0.8903605990603478,1.1958328795979887,0.04238517263390052
ProductivityWithoutDeptCollabs,7,TRUE,0.7226763101763102,1.0077301479730458,0.014001654970671058
ProductivityWithoutDeptCollabs,8,FALSE,0.89049505550244,1.0534243976822995,0.03762229991722498
ProductivityWithoutDeptCollabs,8,TRUE,0.8137917181968174,1.1345139032824365,0.015591102985433359
ProductivityWithoutDeptCollabs,9,FALSE,0.8861888881984575,0.9863465643773013,0.030512050252034604
ProductivityWithoutDeptCollabs,9,TRUE,0.8873758496892825,1.1592057919600407,0.016244873915720257
ProductivityWithoutDeptCollabs,10,FALSE,0.9397566036454925,1.0168180287061275,0.03217069873905717
ProductivityWithoutDeptCollabs,10,TRUE,0.9946719506846708,1.2530739475467925,0.017529367687137528
