prestige_top_half,CumulativeGroupSize,mean,std,sem
0,0.0,0.0,0.0,0.0
0,1.0,0.0,0.0,0.0
0,2.0,0.8701056985294118,1.1039901551160016,0.005292011231288443
0,3.0,1.464608677722466,1.7011865857815556,0.009232906901094016
0,4.0,2.0720401535281963,2.151910943642315,0.01307289287414577
0,5.0,2.7722947554768753,2.731058731847649,0.018168742380291553
0,6.0,3.4975308000207934,3.2300311295059543,0.02328831331633967
0,7.0,4.262494647335902,4.440607112213227,0.034731482296987456
0,8.0,4.935596468414208,4.21783959638504,0.03489394636669496
0,9.0,5.645913203496396,4.801247403076218,0.042041866356346484
0,10.0,6.434032271982052,5.300503894152274,0.04923729396242276
0,11.0,7.277931306750888,5.917066969044484,0.058783967439154795
0,12.0,8.040362254025045,6.599960602438487,0.06978714759741307
0,13.0,9.086709579704657,7.013704535776063,0.07879572187039777
0,14.0,9.828051054065682,7.438857998441245,0.08908332855533851
0,15.0,10.878509045539614,8.548524256869221,0.1067565158478116
0,16.0,11.868565363523793,8.784731334062482,0.11683931204193453
0,17.0,12.60042242703533,9.529849390052952,0.1320536924421797
0,18.0,13.563603845293986,9.860908286410961,0.1474407293245737
0,19.0,14.426699029126214,10.97187761282288,0.17093553144498538
0,20.0,15.54958567228014,10.978272803987329,0.17948996152085953
1,0.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
1,2.0,0.8788461032295423,1.0528432237467062,0.005401469305183595
1,3.0,1.5613938243919268,1.7285713358575794,0.010153146546285815
1,4.0,2.245614035087719,2.215691351309571,0.014235652222172008
1,5.0,2.902092749066614,2.5203653029031505,0.017665147623552504
1,6.0,3.677980086913472,3.168107794733835,0.023497137332974663
1,7.0,4.4852841364842355,3.890423727960407,0.030559453914462447
1,8.0,5.2439507860560495,4.195071957286826,0.03468304756754238
1,9.0,6.098225214198286,4.802900256917199,0.04200805249886255
1,10.0,6.919450919450919,5.243244395048441,0.04871801368748579
1,11.0,7.694412442396313,5.9657070466868145,0.058453623423113464
1,12.0,8.596857556336571,6.26089245785551,0.06365509967618618
1,13.0,9.687690862109466,7.055839189974058,0.07646837324347791
1,14.0,10.446155837432048,7.745223819659298,0.0881163745962859
1,15.0,11.281814363712726,8.55638150597294,0.10123945889842086
1,16.0,12.217544937778461,8.488576114832203,0.10521501257860387
1,17.0,13.073870268467568,9.196344985150459,0.11875399545574042
1,18.0,14.253863134657836,9.899956500273097,0.13427450570431274
1,19.0,15.440488511695301,10.770758670056376,0.1549629147003735
1,20.0,16.06283422459893,11.509961971829943,0.17180961499327685
