prestige_segment_equispaced,Area,ft_funded,ft_unfunded,tt_headcount,funded_tt_ratio,unfunded_tt_ratio,AreaHasCollabNorm
10,Earth Sci.,1201,430,379,3.1688654353562007,1.1345646437994723,TRUE
10,Econ.,893,984,266,3.357142857142857,3.699248120300752,FALSE
10,Engineering,3017,2437,1379,2.1878172588832485,1.7672226250906453,TRUE
10,Geogr.,131,173,84,1.5595238095238095,2.0595238095238093,FALSE
10,Health,639,862,995,0.6422110552763819,0.8663316582914573,TRUE
10,Math. Sci.,925,989,431,2.1461716937354987,2.2946635730858467,FALSE
10,Medical Sci.,924,152,653,1.4150076569678407,0.2327718223583461,TRUE
10,Physical Sci.,1877,458,413,4.544794188861985,1.1089588377723971,TRUE
10,Polit. Sci.,1564,1795,241,6.4896265560165975,7.448132780082988,FALSE
10,Psychol. Sci.,1030,427,497,2.0724346076458753,0.8591549295774648,TRUE
10,Sociol.,600,449,212,2.830188679245283,2.1179245283018866,FALSE
