prestige_segment,avg_prod,avg_prod_sd,avg_prod_se,job
1,0.532617642683592,0.6785621854415936,0.007298899727612825,nonfac
2,0.6001515241254047,0.7866166201650128,0.00566277717665067,nonfac
3,0.521806215464752,0.5875506292881448,0.0035717528473697374,nonfac
4,0.5583974738504046,0.702264079124886,0.0041443952693754884,nonfac
5,0.6043016952390271,0.7033873013039728,0.0034787919506110683,nonfac
6,0.5964770664016161,0.6929040435069377,0.00296881030459081,nonfac
7,0.6125915963699105,0.7067502102472324,0.002736404157119776,nonfac
8,0.6095149364093464,0.730648888980734,0.0026848305097162215,nonfac
9,0.620918163188592,0.7490219384603701,0.0026082497469746536,nonfac
10,0.6217584628268772,0.7324163095275907,0.0022491214549632413,nonfac
1,1.186198797326924,1.5499678031563335,0.02021830908508109,fac
2,1.3892585031346498,1.6859701168508558,0.021975549516995457,fac
3,1.5822331217781243,2.0178633952206155,0.025979159690700537,fac
4,1.5121367216993735,1.8565382731714415,0.024457793834168892,fac
5,1.8272282262157429,2.2343381255129806,0.02898561853711727,fac
6,1.9130099713193784,2.344724987266086,0.030471538424050426,fac
7,1.8475440487112174,2.223415507949554,0.028761751922644324,fac
8,2.035250020249176,2.4351520541902865,0.0312327347325319,fac
9,2.115559189149706,2.4960485142491438,0.03186214139602244,fac
10,2.4049580582564705,2.829691883264887,0.03620379411744227,fac
