"Productivity","ProductivityWithDeptCollabs","ProductivityWithoutDeptCollabs","WindowedGroupSize","scale_log_funded_per_faculty_p1","scale_uniform_percentile100","Area","scale_log_unfunded_per_faculty_p1","scale_tt_headcount","CONTROL"
1.78614512471655,1.4512925170068,0.334852607709751,5.41396825396825,-1.03448715742439,-1.63258085652367,"Computational Sciences",0.187549493744893,-0.431039835587182,0
1.32112511671335,1.05638032990974,0.26474478680361,3.90559446000622,-1.02565710936631,-1.89650608450873,"Engineering",0.437832663607051,-0.150881286464594,0
0.482993197278912,0,0.482993197278912,0.639455782312925,-0.997833438558272,-0.464023260268704,"Anthropology",-0.244272468439523,-0.464220282563383,1
0.712698412698413,0.39047619047619,0.322222222222222,2.77063492063492,-0.958449811007478,0.211442735033209,"Biological Sciences",-0.669043830750052,-0.668182441917093,1
0.548809523809524,0.31547619047619,0.233333333333333,9.49047619047619,-0.845080858981041,-0.229824444533162,"Chemical Sciences",-0.950899661096054,-0.900445570750504,1
1.00468975468975,0.19047619047619,0.814213564213564,1.44305555555556,-0.797184254010457,-0.327785597673101,"Economics",2.00212750778611,-1.05585692901404,1
0,0,0,2.4,-0.842250836807609,-0.0448151137153217,"Physical Sciences",-0.999854647060915,-0.944848815968656,1
0.706794955425092,0.0460534898891063,0.660741465535986,0.810067405957817,0.231698574957154,-0.301917068056061,"Political Science",2.66114842768946,-0.252130116859339,1
1.52234753550543,1.03362573099415,0.488721804511278,4.86215538847118,-1.00359883470119,-0.3458418921414,"Psychological Sciences",0.174615337413103,-0.952039624910867,1
0.940747702589808,0.118421052631579,0.822326649958229,1.2203007518797,-0.980129012104248,-0.581505154770175,"Sociology",-0.697134904906201,-0.499018661551582,1
0.0833333333333333,0.0277777777777778,0.0555555555555556,0.944444444444444,-0.0253366310100751,-0.672016328418666,"Architecture, Design, Planning",3.59164394811226,-1.0786278239977,0
1.59250631797143,0.916001362978107,0.676504954993327,5.1853447198796,-0.737983400665917,-0.621910142785634,"Biological Sciences",-0.303053500189975,0.566291321831211,0
3.9265873015873,2.84546451914099,1.08112278244631,9.23131886087768,2.66090371873826,-0.095212013536821,"Computational Sciences",4.14048819109194,-0.977598720812814,0
2.59646081349206,1.67197172619048,0.924489087301587,6.34969990079365,3.18673227951714,0.130608241412476,"Engineering",4.50197203980633,-0.953601378728003,0
1.14360119047619,0.5692791005291,0.57432208994709,3.19965277777778,1.08834118889546,0.367290545949979,"Geography",2.88026674468723,-1.05656851948228,0
