anonymous_department_id,Area,Productivity,expected_productivity,productivity_residual,productivity_residual_z,productivity_ratio,funded_per_faculty,unfunded_per_faculty,tt_headcount,uniform_percentile100,CONTROL,AreaHasCollabNorm,productivity_direction
dept_001,Economics,1.07072510822511,0.6291180149257678,0.23986006653097214,0.7355287930479067,1.6502656145082717,0.125,5.875,8,55.0898203592814,1,FALSE,near_expected
dept_002,Anthropology,0.483843537414966,0.7111831624202165,-0.1425493329268145,-0.43712628080967203,0.7013338756963385,0,0.651162790697674,43,50.7246376811594,1,FALSE,near_expected
dept_003,Mathematical Sciences,1.24061613600075,1.1813721067837673,0.026796803170137662,0.0821721622041178,1.0481122066113084,0.271428571428571,1.02857142857143,70,42.713567839196,0,FALSE,near_expected
dept_004,Biological Sciences,2.24094848484849,1.288889132531994,0.3477994242954512,1.0665238881760986,1.7110815445309067,0.857142857142857,1.80952380952381,21,29.4478527607362,0,TRUE,near_expected
dept_005,Political Science,0.941126262626263,0.8474712799155135,0.04945052402595418,0.15163959878123295,1.104354295013837,1.45454545454545,15.1818181818182,11,45.679012345679,0,FALSE,near_expected
dept_006,Chemical Sciences,1.577969348659,1.9470285187748444,-0.1337953660664245,-0.4102823181095591,0.8151958439019898,0.366666666666667,0.866666666666667,30,34.5971563981043,0,TRUE,near_expected
dept_007,Physical Sciences,1.05880647130647,1.1896746704554912,-0.06162654845654958,-0.18897727104608064,0.8944334330063092,2,8.5,2,29.8507462686567,0,TRUE,near_expected
dept_008,Biological Sciences,2.19002976190476,1.5703417130968584,0.21599139414101642,0.6623357182332914,1.3824428167213756,3.27272727272727,0.545454545454545,11,56.9148936170213,0,TRUE,near_expected
dept_009,Engineering,1.83793356848912,1.8825617287621323,-0.015603217337921693,-0.04784712929588035,0.9769072523744956,0.4,0.866666666666667,15,42.1875,0,TRUE,near_expected
dept_010,Health,0,0.8280541682112517,-0.6032521050936092,-1.8498672962963494,0.05694409503443126,0,1.04166666666667,24,18.4782608695652,1,TRUE,anonymous_underperformer
dept_011,Sociology,1.05925099206349,0.8049105249410629,0.13183130071231464,0.40425952890471484,1.297505364248453,0.170731707317073,1.04878048780488,41,55.6291390728477,1,FALSE,near_expected
dept_012,Political Science,1.79668664668665,0.8300953969038547,0.4240672810616444,1.300398602908345,2.0982800877986976,0.0845070422535211,0.0563380281690141,71,72.2222222222222,1,FALSE,near_expected
dept_013,Physical Sciences,1.40230158730159,1.6631389357360034,-0.1030782055879843,-0.31608841455851255,0.8477430271454593,22.5,5.25,4,79.6019900497513,1,TRUE,near_expected
dept_014,Sociology,1.49777777777778,1.0059364462131994,0.21929044049926516,0.6724522149940328,1.4657868693977016,5.33333333333333,4,3,75.4966887417219,1,FALSE,near_expected
dept_015,Biological Sciences,0.90009805009805,1.20363544583561,-0.14820298175326563,-0.45446314541484956,0.7578742713873751,0.947368421052632,0.263157894736842,19,42.6470588235294,1,TRUE,near_expected
dept_016,Sociology,1.46277399848828,1.0888947772002644,0.16465324492769362,0.5049077333489763,1.328282497007423,3.44444444444444,0.444444444444444,9,45.0331125827815,0,FALSE,near_expected
dept_017,Psychological Sciences,1.66205096073517,1.762228055934552,-0.036940757140570324,-0.11327850820207808,0.94472158464199385,1.21428571428571,0.464285714285714,28,74.5614035087719,1,TRUE,near_expected
dept_018,Political Science,0.412244897959184,1.115623638959034,-0.40416906927721974,-1.2393809107627485,0.3965644505734236,10.8,4.13333333333333,15,79.6296296296296,1,FALSE,near_expected
dept_019,Anthropology,0.535714285714286,0.8690161730463286,-0.19641657623294495,-0.6023097105768777,0.6373275061882502,1.3,3.8,10,89.1304347826087,1,FALSE,near_expected
dept_020,Sociology,1.39444444444444,0.9962746770530846,0.18186845703811694,0.5576980304950349,1.3805594994546098,0.851851851851852,0.037037037037037,27,88.0794701986755,1,FALSE,near_expected
dept_021,Physical Sciences,1.80173992673993,1.4128258346579994,0.14944202048852295,0.4582626468435937,1.2658649326991527,3.3,1.1,10,79.1044776119403,1,TRUE,near_expected
dept_022,Computational Sciences,0.968154761904762,2.156279997548943,-0.4722976834528786,-1.4482967093839347,0.461480303060299,0.8,1.73333333333333,15,70.4081632653061,1,TRUE,near_expected
dept_023,Computational Sciences,1.85056966842681,1.9747212616717604,-0.04263148308735487,-0.13072906947199403,0.9386821309208551,1.25,4.66666666666667,12,37.7551020408163,1,TRUE,near_expected
dept_024,Physical Sciences,1.64603380158936,1.0674782107917378,0.24673223126587385,0.7566022260131893,1.5177332186080956,0,0.169811320754717,53,34.8258706467662,1,TRUE,near_expected
dept_025,Medical Sciences,1.0133477633477601,0.9899426698369831,0.011693061284372086,0.035856670007296504,1.0225061382609157,0.307692307692308,0.230769230769231,13,3.92156862745098,1,TRUE,near_expected
dept_026,Engineering,3.09359977324263,1.7382895315515987,0.4020912562039347,1.2330093151733863,1.7578807669444356,1.24137931034483,0.96551724137931,29,30.6748466257669,1,TRUE,near_expected
dept_027,Chemical Sciences,2.92070494864612,1.8324440468515992,0.3251315117276068,0.9970129328383572,1.5781106235878004,0.75,0.375,8,55.7377049180328,1,TRUE,near_expected
dept_028,Chemical Sciences,0.814087301587302,1.6988370591757653,-0.3972384843014837,-1.2181283326406587,0.4940925153968033,0,0.210526315789474,19,43.6018957345972,1,TRUE,near_expected
dept_029,Physical Sciences,0.684457671957672,1.0977605830267754,-0.21942673110467725,-0.672870148941741,0.6399049443053912,0,0.0333333333333333,60,40.2985074626866,1,TRUE,near_expected
dept_030,Computational Sciences,2.46455342902711,2.62343371139887,-0.04483837149483616,-0.13749647344307786,0.9405707043738046,3.33333333333333,0.222222222222222,18,97.4489795918367,1,TRUE,near_expected
dept_031,Biological Sciences,1.7413394145537,1.385685627013686,0.13896008071999455,0.4261198703562411,1.247724000887155,2.5,2.16666666666667,18,71.2328767123288,1,TRUE,near_expected
dept_032,Engineering,2.01136173767753,1.6626219230662098,0.12308105831271887,0.37742698723100426,1.2036291897904414,0.6,2.3,10,2.45398773006135,0,TRUE,near_expected
dept_033,Chemical Sciences,1.1342632675966,1.9982255549681067,-0.3398991185928135,-1.0422976699388917,0.5781898701166437,0.95,1.7,20,36.4928909952607,0,TRUE,near_expected
dept_034,Psychological Sciences,0.683952621452621,1.3618751537467544,-0.3383120793217973,-1.037431027915429,0.5198424375589435,0,8.875,8,12.280701754386,0,TRUE,near_expected
dept_035,Physical Sciences,1.21507936507936,1.572670710887229,-0.1496563128508397,-0.45891977249562127,0.779627903918751,7.33333333333333,3.5,6,54.726368159204,0,TRUE,near_expected
dept_036,Anthropology,0.873626373626374,0.788587124166191,0.04644979813630745,0.14243789912442714,1.1014077691029869,0.5,3.21428571428571,14,34.7826086956522,0,FALSE,near_expected
dept_037,Computational Sciences,3.31986461251167,2.5879052586441826,0.1856555232807675,0.5693110359566571,1.2774774990378905,3.66666666666667,5.55555555555555,9,69.8979591836735,0,TRUE,near_expected
dept_038,Chemical Sciences,2.37023809523809,2.054677296275784,0.09830943756398436,0.30146502918325024,1.1499331035312106,1.94444444444444,1.22222222222222,18,27.4881516587678,0,TRUE,near_expected
dept_039,Psychological Sciences,2.08579810712164,1.7620209185941351,0.11084770093984186,0.33991350400083903,1.1786829198300364,0.444444444444444,1.51851851851852,27,55.7017543859649,0,TRUE,near_expected
dept_040,Chemical Sciences,2.79986772486773,2.1157564344101303,0.19849429803492447,0.6086810262835781,1.3158763744566346,0.225806451612903,0.0645161290322581,31,63.9344262295082,0,TRUE,near_expected
dept_041,Mathematical Sciences,1.77113095238095,1.1566323704293446,0.2507076056414581,0.7687926767150342,1.5092674430182527,0.222222222222222,2,9,63.2075471698113,0,FALSE,near_expected
dept_042,Economics,1.27466153127918,0.7937180520868992,0.23754067419082825,0.7284163967527514,1.5700286701258654,0.2,2.13333333333333,15,46.7065868263473,0,FALSE,near_expected
dept_043,Computational Sciences,2.91929522497704,2.307251218249854,0.16979445137398264,0.5206731978839443,1.2596430970058419,0.526315789473684,1.84210526315789,19,57.6530612244898,0,TRUE,near_expected
dept_044,Health,1.5647747314414,1.1981791665469022,0.15424128466450526,0.4729795484017883,1.2937042811799908,0.25,2.1,20,73.3333333333333,0,TRUE,near_expected
